id,full_name,first_name,last_name,is_active,league
203502,Tony Mitchell,Tony,Mitchell,False,NBA
1628513,Naz Mitrou-Long,Naz,Mitrou-Long,False,NBA
77618,Steve Mix,Steve,Mix,False,NBA
77619,Bill Mlkvy,Bill,Mlkvy,False,NBA
1749,Cuttino Mobley,Cuttino,Mobley,False,NBA
211,Eric Mobley,Eric,Mobley,False,NBA
1630596,Evan Mobley,Evan,Mobley,True,NBA
1630600,Isaiah Mobley,Isaiah,Mobley,True,NBA
77621,Larry Moffett,Larry,Moffett,False,NBA
1642367,Jonathan Mogbo,Jonathan,Mogbo,True,NBA
77622,Leo Mogus,Leo,Mogus,False,NBA
1737,Nazr Mohammed,Nazr,Mohammed,False,NBA
2040,Jerome Moiso,Jerome,Moiso,False,NBA
77623,Paul Mokeski,Paul,Mokeski,False,NBA
1629690,Adam Mokoka,Adam,Mokoka,False,NBA
77624,Jack Molinas,Jack,Molinas,False,NBA
77625,Wayne Molis,Wayne,Molis,False,NBA
77626,Sidney Moncrief,Sidney,Moncrief,False,NBA
1631320,Chima Moneke,Chima,Moneke,False,NBA
77627,Eric Money,Eric,Money,False,NBA
2752,Sergei Monia,Sergei,Monia,False,NBA
1628370,Malik Monk,Malik,Monk,True,NBA
600006,Earl Monroe,Earl,Monroe,False,NBA
202328,Greg Monroe,Greg,Monroe,False,NBA
77628,Rodney Monroe,Rodney,Monroe,False,NBA
1626242,Luis Montero,Luis,Montero,False,NBA
77630,Howie Montgomery,Howie,Montgomery,False,NBA
376,Eric Montross,Eric,Montross,False,NBA
1630541,Moses Moody,Moses,Moody,True,NBA
200081,Jamario Moon,Jamario,Moon,False,NBA
1629875,Xavier Moon,Xavier,Moon,False,NBA
77631,Jim Mooney,Jim,Mooney,False,NBA
1629760,Matt Mooney,Matt,Mooney,False,NBA
77632,Andre Moore,Andre,Moore,False,NBA
1628500,Ben Moore,Ben,Moore,False,NBA
202734,E'Twaun Moore,E'Twaun,Moore,False,NBA
77634,Jackie Moore,Jackie,Moore,False,NBA
77633,Johnny Moore,Johnny,Moore,False,NBA
77635,Lowes Moore,Lowes,Moore,False,NBA
1630,Mikki Moore,Mikki,Moore,False,NBA
77636,Otto Moore,Otto,Moore,False,NBA
77637,Ron Moore,Ron,Moore,False,NBA
1631386,Tazé Moore,Tazé,Moore,True,NBA
929,Tracy Moore,Tracy,Moore,False,NBA
